Type,Group,SgPic,PlPic,Sg,Pl,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,ItemID,Ask for singular or plural?,objects,SgPicZip,PlPicZip
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1-XIh16Zsgrgad-0Qx36UoxLUjh-fL_DT=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1dVOJaOSOyyiZFiRzXLISz7wuSa2Kl_mc=s3200-k-iv1,fosav,fosek,fosav,fosek,fosib,fosod,fosug,fosal,fosit,fosup,1,Singular,bananas,One banana.jpg,Two bananas.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1-XIh16Zsgrgad-0Qx36UoxLUjh-fL_DT=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1dVOJaOSOyyiZFiRzXLISz7wuSa2Kl_mc=s3200-k-iv1,fosav,fosek,fosav,fosek,fosib,fosod,fosug,fosal,fosit,fosup,1,Singular,bananas,One banana.jpg,Two bananas.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1-XIh16Zsgrgad-0Qx36UoxLUjh-fL_DT=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1dVOJaOSOyyiZFiRzXLISz7wuSa2Kl_mc=s3200-k-iv1,fosav,fosek,fosav,fosek,fosib,fosod,fosug,fosal,fosit,fosup,1,Singular,bananas,One banana.jpg,Two bananas.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1-XIh16Zsgrgad-0Qx36UoxLUjh-fL_DT=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1dVOJaOSOyyiZFiRzXLISz7wuSa2Kl_mc=s3200-k-iv1,fosug,fosal,fosav,fosek,fosib,fosod,fosug,fosal,fosit,fosup,1,Singular,bananas,One banana.jpg,Two bananas.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1-XIh16Zsgrgad-0Qx36UoxLUjh-fL_DT=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1dVOJaOSOyyiZFiRzXLISz7wuSa2Kl_mc=s3200-k-iv1,fosib,fosod,fosav,fosek,fosib,fosod,fosug,fosal,fosit,fosup,1,Singular,bananas,One banana.jpg,Two bananas.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1-XIh16Zsgrgad-0Qx36UoxLUjh-fL_DT=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1dVOJaOSOyyiZFiRzXLISz7wuSa2Kl_mc=s3200-k-iv1,fosib,fosod,fosav,fosek,fosib,fosod,fosug,fosal,fosit,fosup,1,Singular,bananas,One banana.jpg,Two bananas.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/12-GHvY_6ksWkw3lmW4dfygxtWPgWzOU9=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1h1nR3c4NlrHtN4gNi8Y0iTkn0AKy0yBm=s3200-k-iv1,namib,namod,namav,namek,namib,namod,namug,namal,namit,namup,2,Singular,bears,One bear.jpg,Two bears.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/12-GHvY_6ksWkw3lmW4dfygxtWPgWzOU9=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1h1nR3c4NlrHtN4gNi8Y0iTkn0AKy0yBm=s3200-k-iv1,namav,namek,namav,namek,namib,namod,namug,namal,namit,namup,2,Singular,bears,One bear.jpg,Two bears.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/12-GHvY_6ksWkw3lmW4dfygxtWPgWzOU9=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1h1nR3c4NlrHtN4gNi8Y0iTkn0AKy0yBm=s3200-k-iv1,namib,namod,namav,namek,namib,namod,namug,namal,namit,namup,2,Singular,bears,One bear.jpg,Two bears.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/12-GHvY_6ksWkw3lmW4dfygxtWPgWzOU9=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1h1nR3c4NlrHtN4gNi8Y0iTkn0AKy0yBm=s3200-k-iv1,namav,namek,namav,namek,namib,namod,namug,namal,namit,namup,2,Singular,bears,One bear.jpg,Two bears.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/12-GHvY_6ksWkw3lmW4dfygxtWPgWzOU9=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1h1nR3c4NlrHtN4gNi8Y0iTkn0AKy0yBm=s3200-k-iv1,namug,namal,namav,namek,namib,namod,namug,namal,namit,namup,2,Singular,bears,One bear.jpg,Two bears.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/12-GHvY_6ksWkw3lmW4dfygxtWPgWzOU9=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1h1nR3c4NlrHtN4gNi8Y0iTkn0AKy0yBm=s3200-k-iv1,namug,namal,namav,namek,namib,namod,namug,namal,namit,namup,2,Singular,bears,One bear.jpg,Two bears.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1p-sgYihEglZCuLRlvxoYkllkDa5NSkPO=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1jaiipOg5MdI6D4etlPxwzd77xwwjaF3l=s3200-k-iv1,herib,herod,herav,herek,herib,herod,herug,heral,herit,herup,3,Singular,calculators,One calculator.jpg,Two calculators.jpg
